epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,29.5072,0.55553,0.9645,0.97027,0.66351,0.69784,0.84867,0.6072,1.64985,1.48847,1.37361,2.82082e-05,2.82082e-05,2.82082e-05
40,29.9893,0.78759,1.03096,1.29745,0.66351,0.69784,0.84867,0.6072,1.64985,1.48847,1.37361,2.84911e-05,2.84911e-05,2.84911e-05
41,30.4985,0.72565,0.94476,1.06776,0.66394,0.68903,0.84698,0.60164,1.60033,1.51915,1.35147,2.87504e-05,2.87504e-05,2.87504e-05
42,30.9976,0.88488,1.30395,1.21375,0.66394,0.68903,0.84698,0.60164,1.60033,1.51915,1.35147,2.89861e-05,2.89861e-05,2.89861e-05
43,31.4971,0.69587,1.14449,1.19728,0.66835,0.69862,0.81897,0.51312,1.56909,1.56719,1.33753,2.91983e-05,2.91983e-05,2.91983e-05
44,31.947,0.9851,2.18204,1.37268,0.66835,0.69862,0.81897,0.51312,1.56909,1.56719,1.33753,2.93869e-05,2.93869e-05,2.93869e-05
45,32.4602,0.76276,1.28588,1.21793,0.61936,0.59328,0.6266,0.41729,1.57738,1.63236,1.33655,2.9552e-05,2.9552e-05,2.9552e-05
46,32.9468,0.93635,1.45167,1.27357,0.61936,0.59328,0.6266,0.41729,1.57738,1.63236,1.33655,2.96935e-05,2.96935e-05,2.96935e-05
47,33.835,1.1908,1.55221,1.49282,0.58777,0.5091,0.55143,0.34802,1.6533,1.69689,1.36869,2.98114e-05,2.98114e-05,2.98114e-05
48,34.6027,0.91527,0.76455,1.3136,0.58777,0.5091,0.55143,0.34802,1.6533,1.69689,1.36869,2.99058e-05,2.99058e-05,2.99058e-05
49,35.2632,0.73322,0.97873,1.18775,0.58459,0.50776,0.52612,0.32374,1.6401,1.70645,1.36999,2.99766e-05,2.99766e-05,2.99766e-05
50,35.9121,0.77949,0.98919,1.18212,0.58459,0.50776,0.52612,0.32374,1.6401,1.70645,1.36999,3.00238e-05,3.00238e-05,3.00238e-05
51,36.7465,0.85698,1.01976,1.19566,0.58763,0.50242,0.51273,0.31224,1.68833,1.73313,1.39377,3.00475e-05,3.00475e-05,3.00475e-05
52,37.4591,0.75058,1.52224,1.1293,0.58763,0.50242,0.51273,0.31224,1.68833,1.73313,1.39377,3.00476e-05,3.00476e-05,3.00476e-05
53,38.1908,0.76336,0.88058,1.12861,0.58763,0.50242,0.51273,0.31224,1.68833,1.73313,1.39377,3.00242e-05,3.00242e-05,3.00242e-05
54,38.9141,0.74389,0.86028,1.2811,0.75617,0.48333,0.50928,0.30643,1.71003,1.79721,1.40221,2.99772e-05,2.99772e-05,2.99772e-05
